ID,Catégorie,Sous-Catégorie,Question,Réponse,Mots-Clés,URL,Priorité
11,Offres,Audit Complet,Audit CX & CCaaS Complet (15 000 MAD HT),"**Prix : 15 000 MAD HT (déduit si vous signez le projet)**
**Durée : Livré sous 2 semaines**

**Pour qui ?** PME/Grandes entreprises avec 20-200 agents qui veulent sécuriser leur décision avant d'investir

**Ce qui est inclus :**
- Audit technique plateforme existante (on-premise ou cloud)
- Cartographie flux appels & intégrations CRM
- Analyse parcours clients omnicanaux
- Business case ROI chiffré (coûts actuels vs futurs)
- Roadmap migration sécurisée par vagues
- Présentation exec 1h pour comité de direction

**Livrables :**
- Rapport audit 40+ pages (forces/faiblesses/risques)
- Architecture technique cible (schémas HLD/LLD)
- Roadmap go-live semaine par semaine
- Budget détaillé (licences + delivery + run)","audit,complet,15000,15k,mad,évaluation approfondie,diagnostic détaillé",https://onex-technology.com/#offres,Haute
12,Offres,Migration Clé en Main,Migration CCaaS Clé en Main (Sur Devis),"**Prix : Sur Devis (Forfait projet, pas de régie)**
**Durée : 8-12 semaines selon complexité**

**Pour qui ?** Centres de contact 50-500 agents qui veulent basculer vers Genesys/AWS/Avaya sans risque ni downtime

**Ce qui est inclus :**
- Audit + Architecture cloud + Spécifications fonctionnelles
- Configuration plateforme CCaaS (routage, IVR, reporting)
- Intégrations CRM (Salesforce, Dynamics, custom APIs)
- Migration progressive agents (10% par vague, plan rollback)
- Formation terrain 2 jours + coaching post go-live
- Support intensif 30 jours (24/7 première semaine)

**Livrables :**
- Plateforme opérationnelle avec SLA 99,95%
- Documentation run complète (admin + troubleshooting)
- Équipes formées et autonomes
- KPIs avant/après migration (ROI démontré)","migration,clé en main,projet complet,delivery,mise en œuvre,go-live",https://onex-technology.com/#offres,Haute
13,Méthode,Phase 1,Phase 1 : On Diagnostique Avant de Prescrire,"Audit technique plateforme existante. Cartographie flux appels. Analyse intégrations. Identification quick wins. À la fin : business case chiffré, ROI prévisionnel, plan d'action validé. Pas de devis à l'aveugle.

**Livrables :**
- Rapport audit technique (forces/faiblesses plateforme actuelle)
- Cartographie flux & intégrations (tout documenté, pas de zone d'ombre)
- Business case ROI (coûts actuels vs futurs, timeline retour investissement)
- Roadmap go-live (semaine par semaine, qui fait quoi)","phase 1,audit,diagnostic,analyse,méthodologie,approche",https://onex-technology.com/#approche,Moyenne
14,Méthode,Phase 2,Phase 2 : On Conçoit l'Architecture Cible,"Architecture détaillée cloud. Spécifications fonctionnelles. Design parcours clients optimisés. Plan de migration par vagues. Stratégie de tests. Tout est documenté avant de toucher une seule ligne de config.

**Livrables :**
- Architecture technique HLD/LLD (schémas réseau, flux de données)
- Spécifications fonctionnelles validées métier (chaque feature décrite)
- Plan de migration sécurisé (bascule progressive, rollback prévu)
- Matrice de tests & scénarios de validation (rien au hasard)","phase 2,architecture,conception,design,spécifications,hld,lld",https://onex-technology.com/#approche,Moyenne
15,Méthode,Phase 3,Phase 3 : On Déploie Sans Casser l'Existant,"Configuration plateforme. Intégrations CRM. Migration progressive des agents (10% par vague). Tests de charge. Formation terrain. Bascule DNS finale. Support intensif post go-live (24/7 première semaine). Vous dormez tranquille.

**Livrables :**
- Plateforme CCaaS configurée & testée (tous flux validés)
- Intégrations CRM opérationnelles (Salesforce, Dynamics, custom APIs)
- Agents formés terrain (2 jours formation + coaching post go-live)
- Documentation run complète (procédures admin, troubleshooting)","phase 3,déploiement,migration,go-live,configuration,formation,tests",https://onex-technology.com/#approche,Moyenne
16,Méthode,Phase 4,Phase 4 : On Optimise & On Forme Vos Équipes,"Monitoring KPIs. Analyse performances. Ajustements config. Évolutions fonctionnelles. Transfert compétences progressif vers vos équipes IT. Objectif : vous rendre autonomes. Pas de dépendance éternelle.

**Livrables :**
- Tableaux de bord opérationnels (KPIs temps réel Genesys/AWS)
- Rapports mensuels optimisation (analyse perfs, recommandations)
- Transfert compétences IT (formation admin plateforme certifiante)
- Documentation complète run (vous êtes autonomes post-projet)","phase 4,optimisation,support,formation,transfert compétences,run,maintenance",https://onex-technology.com/#approche,Moyenne
17,À Propos,Équipe,Une Équipe de Seniors (18 ans d'expertise cumulée),"Nos architectes CCaaS ont 10+ ans d'expérience chacun. Formés sur les plus grands déploiements CX en France et à l'international (luxe, banque, assurance, télécoms). Vous payez pour de l'expertise rare, pas pour former des juniors.

**Notre philosophie :**
Chez ONEX, on croit qu'un projet CCaaS bien fait vaut mieux que 10 projets bâclés. On ne prend que 3-4 clients simultanés pour garantir l'excellence. Si on ne peut pas livrer la qualité qu'on promet, on refuse le projet.

**Nos valeurs :**
- Excellence Technique (Pas de Bricolage)
- Transparence Brutale (Pas de Bullshit)
- Résultats Mesurables (Pas juste des Livrables)","équipe,team,experts,seniors,expérience,à propos,qui sommes-nous",https://onex-technology.com/#equipe,Moyenne
18,À Propos,Pourquoi ONEX,Pourquoi Migrer Votre CCaaS avec ONEX ?,"15 centres de contact migrés sans interruption. Voici comment on fait différent :

**1. Architectes CCaaS certifiés (pas des juniors)**
Genesys Cloud CX Certified, AWS Connect Specialist, Avaya Cloud Expert. Nos architectes ont 10+ ans sur les plateformes que vous allez déployer.

**2. Support basé à Casablanca, pas à Paris**
Équipe locale disponible en français/arabe, sur votre fuseau horaire. Ateliers sur site, formation agents terrain, hotline post go-live 24/7.

**3. Bascule progressive (pas de big bang suicidaire)**
Migration par vagues de 10% des agents/jour. Tests de charge réels. Plan de rollback systématique. 15 migrations sans incident majeur.

**4. Engagement sur les résultats (pas juste des livrables)**
On s'engage sur vos KPIs : -20% coûts télécoms, +15% FCR, -30% AHT, amélioration CSAT mesurable.","pourquoi,différence,avantages,onex,valeur ajoutée,bénéfices",https://onex-technology.com/#a-propos,Haute
19,À Propos,Partenaires,Partenaires Technologiques Officiels,"Certifications officielles Genesys Cloud, AWS Connect Specialist, Microsoft Partner. Accès privilégié aux roadmaps produits, support éditeur niveau 3, formations continues. Vous bénéficiez des dernières innovations avant tout le monde.

**Nos partenariats :**
- Genesys : Cloud CX Leader (Genesys Cloud CX Certified Professional)
- AWS : Amazon Connect Specialist (AWS Connect Deployment Specialist)
- Microsoft : Azure Partner (Microsoft Certified Partner)","partenaires,certifications,genesys,aws,microsoft,partners,éditeurs",https://onex-technology.com/#partenaires,Basse
20,Contact,Prise de Contact,Comment nous contacter ?,"**Email :** contact@onex-technology.com
**Téléphone :** +212 5 22 XX XX XX
**WhatsApp :** +212 6 XX XX XX XX
**Localisation :** Casablanca, Maroc

**Ce que vous obtenez en nous contactant :**
- Une réponse personnalisée sous 24h ouvrées (pas de bot, un humain)
- Un 1er échange de 30 min avec un architecte CCaaS senior (pas un commercial)
- Une évaluation honnête : on vous dit si votre projet est viable ou s'il faut revoir votre copie

**Vous nous contactez pour :**
1. Hésiter entre Genesys, AWS Connect ou Avaya
2. Votre migration CCaaS actuelle est bloquée
3. Vous voulez un audit ou un devis détaillé","contact,email,téléphone,rdv,rendez-vous,consultation,casablanca",https://onex-technology.com/#contact,Haute
21,Statistiques,Chiffres Clés,Nos chiffres clés et impact,"**Notre impact mesuré :**
- 18+ années d'expérience cumulées
- 50+ projets de transformation CX livrés
- 15+ centres de contact modernisés
- 98% taux de satisfaction client
- 0 downtime sur 15 migrations réalisées
- ROI moyen : 8 mois
- SLA disponibilité : 99,95% garanti","statistiques,chiffres,kpi,résultats,impact,références,projets",https://onex-technology.com/,Basse
22,Process,Rendez-vous,Comment prendre rendez-vous avec ONEX ?,"Pour prendre rendez-vous avec notre équipe :

**Option 1 : Diagnostic Express Gratuit (30 min)**
- Contactez-nous via le formulaire sur notre site
- Email : contact@onex-technology.com
- Téléphone : +212 5 22 XX XX XX
- WhatsApp : +212 6 XX XX XX XX

**Option 2 : Utiliser l'assistant IA**
- Indiquez vos disponibilités (en heure de Paris)
- Fournissez votre nom complet et email
- L'assistant vérifie les créneaux disponibles
- Confirmation automatique par email

**Délai de réponse :** Sous 24h ouvrées (lun-ven, 9h-18h)
**Durée du 1er RDV :** 30 minutes
**Format :** Visioconférence ou sur site à Casablanca","rendez-vous,rdv,appointment,réunion,consultation,créneau,disponibilité,réserver",https://onex-technology.com/#contact,Haute
